english,kky,tsc,category,image,audio,submitted by
taste,nutan,,verb,,,Arctus
taste,mita,,noun,,,Arctus
teach,ngurapipa,,verb,,,Arctus
tell,iakaman,,verb,,,Arctus
tell,iadupalgan,,verb,,,Arctus
tempt,nutan,,verb,,,Arctus
tender,körpusönga,,adjective,,,Arctus
termination,kutö,,abstract,,,Arctus
terror,aka,,abstract,,,Arctus
thank,ǐeso,,abstract,,,Arctus
that,sena,,pronoun,,,Arctus
that,senabi,,pronoun,,,Arctus
thee,ngi,,pronoun,,,Arctus
their,tanamun,,pronoun,,,Arctus
their,palamun,,pronoun,,,Arctus
them,tana ,,pronoun,,,Arctus
them,pala ,,pronoun,,,Arctus
therefore,kedazinga,,adverb,,,Arctus
therefore,senaoki,,adverb,,,Arctus
thick,badalenga,,adjective,,,Arctus
thief,puru-mabaeg,,person,,,Arctus
thigh,madu,,body part,,,Arctus
thigh,drakapi,,body part,,,Arctus
thin,pepenga,,adjective,,,Arctus
thing,za,,abstract,,,Arctus
thing,pawa,,abstract,,,Arctus
think,wakaintamamiz,,verb,,,Arctus
this,ina,,determiner,,,Arctus
this,inabi,,determiner,,,Arctus
this,ita,,determiner,,,Arctus
throat,ia,,body part,,,Arctus
throat,karta,,body part,,,Arctus
through,adakado,,preposition,,,Arctus
throw,taean,,verb,,,Arctus
throw,pagan,,verb,,,Arctus
thumb,kuikudim,,body part,,,Arctus
thumb,kabageta,,body part,,,Arctus
thunder,gigi,,enviroment,,,Arctus
thunder,duyuma,,enviroment,,,Arctus
thus,keda ,,conjunction,,,Arctus
tide,bubu,,time,,,Arctus
till,kurusipa,,time,,,Arctus
tired,gamu-doidima,,adjective,,,Arctus
to,-pa,,preposition,,,Arctus
to,-mulpa,,preposition,,,Arctus
tobacco,suguba,,material,,,Arctus
tobacco,sukub,,material,,,Arctus
together,kaimil,,adverb,,,Arctus
tongue,nöia,,speech,,,Arctus
tongue,nöitai,,speech,,,Arctus
tongue,löia,,speech,,,Arctus
top,gimal,,position,,,Arctus
touch,itut,,verb,,,Arctus
ulcer,bada,,medical,,,eric
ulcer,bagur,,medical,,,eric
uncle,keuba-tati,,person,,,eric
uncle,waduam,,person,,,eric
uncle,adoama,,person,,,eric
uncle,igalaigu,,person,,,eric
unclean,tulainga,,adjective,,,eric
under,apa,,preposition,,,eric
under,apal,,preposition,,,eric
understand,ngulaig,,verb,,,eric
understand,wakaitamain,,verb,,,eric
undo,gudöwaiz,,verb,,,eric
undress,pudiz,,verb,,,eric
unripe,kobaris,,adjective,,,eric
until,kurusipa,,preposition,,,eric
up,gimal,,adverb,,,eric
up,kadai,,adverb,,,eric
upon,worogi,,preposition,,,eric
us,ngalpa,,pronoun,,,eric
us,ngöi,,pronoun,,,eric
vanish,idumai,,verb,,,eric
vein,kirer,,body part,,,eric
very,köi,,adverb,,,eric
village,apnu,,place,,,eric
voice,ngurö,,common,,,eric
voice,böie,,common,,,eric
voice,nurö,,common,,,eric
vomit,magiz,,verb,,,eric
wail,kuik-gasamiz,,verb,,,eric
waist,wa,,body part,,,eric
wait,uganö,,verb,,,eric
walk,uzar,,verb,,,eric
walking-stick,bogi,,tool,,,eric
want,möken,,verb,,,eric
want,ubinmepa,,verb,,,eric
war,kouba,,activity,,,eric
war,kobu,,activity,,,eric
warm,kamanale,,adjective,,,eric
warn,iedawaiano,,verb,,,eric
warrior,koupapa,,person,,,eric
warrior,murawardan,,person,,,eric
wash,garöwalgaipa,,verb,,,eric
yam,gabau,,food,,,eric
yam,bumat,,food,,,eric
yam,bua,,food,,,eric
year,watö,,time,,,eric
year,suziwaur,,time,,,eric
yellow,uru,,colour,,,eric
yellow,murdagamulnga,,colour,,,eric
yes,wa,,exclamation,,,eric
yesterday,ngulö,,time,,,eric
you,ngi,,pronoun,,,eric
you,ngita,,pronoun,,,eric
young,kawakuik,,adjective,,,eric
young man,kawakuiko,,person,,,eric
your,nginu,,determiner,,,eric
